SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
Cc1oc(=O)oc1COC(=O)N1CC[C@@H](N2CC/C(=C\C3=C(C(=O)[O-])N4C(=O)[C@@H](NC(=O)/C(=N\[O-])c5nsc(N)n5)[C@H]4SC3)C2=O)C1,"135413544",79,"NO GOOD POSES FOUND",2.36,,,,,,,,,,,,,,
CC(=O)N[C@H](Cc1ccc2ccccc2c1)C(=O)N[C@H](Cc1ccc(Cl)cc1)C(=O)N[C@H](Cc1cccnc1)C(=O)N[C@@H](CO)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@H](CCCNC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(N)=[NH2+])C(=O)N1CCC[C@H]1C(=O)N[C@H](C)C(N)=O,"25074887",85,"NO GOOD POSES FOUND",270.18,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",89,"NO GOOD POSES FOUND",583.26,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",90,"NO GOOD POSES FOUND",540.79,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",91,"NO GOOD POSES FOUND",517.32,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",92,"NO GOOD POSES FOUND",699.68,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",93,"NO GOOD POSES FOUND",645.44,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",94,"NO GOOD POSES FOUND",475.82,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",95,"NO GOOD POSES FOUND",339.72,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",96,"NO GOOD POSES FOUND",289.7,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",97,"NO GOOD POSES FOUND",562.67,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",98,"NO GOOD POSES FOUND",459.18,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",99,"NO GOOD POSES FOUND",875.38,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",100,"NO GOOD POSES FOUND",567.46,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",101,"NO GOOD POSES FOUND",1064.06,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",102,"NO GOOD POSES FOUND",449.28,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",103,"NO GOOD POSES FOUND",694.65,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",104,"NO GOOD POSES FOUND",423.74,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",105,"NO GOOD POSES FOUND",579.72,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",106,"NO GOOD POSES FOUND",524.37,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",107,"NO GOOD POSES FOUND",310.2,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",108,"NO GOOD POSES FOUND",303.82,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",109,"NO GOOD POSES FOUND",625.74,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",110,"NO GOOD POSES FOUND",269.49,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",111,"NO GOOD POSES FOUND",818.4,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",112,"NO GOOD POSES FOUND",746.89,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",113,"NO GOOD POSES FOUND",395.63,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",114,"NO GOOD POSES FOUND",553.36,,,,,,,,,,,,,,
CC[C@@H](C)CCCCC(=O)N[C@H](CC[NH2+]CS(=O)(=O)[O-])C(=O)N[C@@H](C(=O)N[C@H](CCNCS(=O)(=O)[O-])C(=O)N[C@H]1CCNC(=O)[C@@H]([C@@H](C)O)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC(=O)[C@H](CCNCS(=O)(=O)[O-])NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC[NH2+]CS(=O)(=O)[O-])NC1=O)[C@@H](C)O,"70789202",115,"NO GOOD POSES FOUND",577.57,,,,,,,,,,,,,,
