SMILES,title,i_i_glide_lignum,docking_status,r_glide_cpu_time,r_i_docking_score,s_i_glide_gridfile,r_i_glide_gscore,r_i_glide_lipo,r_i_glide_hbond,r_i_glide_metal,r_i_glide_rewards,r_i_glide_evdw,r_i_glide_ecoul,r_i_glide_erotb,r_i_glide_esite,r_i_glide_emodel,r_i_glide_energy,r_i_glide_einternal
CCOC(=O)C1=C(COCC[NH3+])NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,"2162",19,Done,7.14,-5.09019,"5edu_chain-A_Grid",-5.09359,-1.03985,-0.484363,-0,-0.899694,-30.9565,-12.2831,0.820602,-0.1,-61.3114,-43.2396,1.57178
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"135413536",20,Done,4.24,-5.01662,"5edu_chain-A_Grid",-5.05942,-0.896142,-0.495322,-0.868593,0,-36.8082,-8.48148,0.433559,-0.120287,-58.3005,-45.2897,4.76314
C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[n-]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"135413536",21,Done,4.36,-4.39506,"5edu_chain-A_Grid",-6.00736,-0.551183,-0.291379,-2.3,0,-33.6844,-8.98552,0.435069,-0.267817,-61.4191,-42.6699,4.82429
C[C@@H](O[C@H]1OCCN(Cc2n[n-]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,"135413536",22,Done,5.25,-1.8911,"5edu_chain-A_Grid",-5.4066,-0.882456,-0.32,-1.6859,0,-30.7892,-8.20811,0.435069,-0.18263,-54.8938,-38.9973,9.22211
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCC[NH+]3CCCCC3)cc2)cc1,"179337",23,Done,5.66,-4.64674,"5edu_chain-A_Grid",-4.69044,-1.84638,-0.2,-0,-0.276624,-34.8151,-7.07725,0.534903,-0.1,-55.7959,-41.8924,3.07981
COc1ccc(-c2sc3cc(O)ccc3c2Oc2ccc(OCCN3CCCCC3)cc2)cc1,"179337",24,Done,5.6,-3.41123,"5edu_chain-A_Grid",-5.05043,-2.68052,-0.32,-0,-0.34969,-38.3593,-2.12822,0.536975,0,-50.4036,-40.4875,6.41766
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2cc[nH]n2)c1,"72165228",25,Done,5.53,-3.38371,"5edu_chain-A_Grid",-3.50551,-1.49369,0,-0,-0.306372,-36.396,-3.19863,0.594328,-0.000183005,-43.7684,-39.5947,7.5171
O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,"72165228",26,Done,2.78,-2.55403,"5edu_chain-A_Grid",-3.55273,-1.65995,-0.10693,-0,0.00741245,-33.9762,-4.37468,0.594328,-0.0325782,-43.7794,-38.3509,2.48517
COc1ccc(CC[NH+]2CCC(Nc3nc4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,"2247",27,Done,4.48,-6.41429,"5edu_chain-A_Grid",-6.77779,-1.39656,-0.32,-2.3,-0.89198,-31.6528,-6.35659,0.666874,0,-51.8755,-38.0094,10.747
COc1ccc(CC[NH+]2CCC(Nc3[nH+]c4ccccc4n3Cc3ccc(F)cc3)CC2)cc1,"2247",28,Done,3.85,-6.25514,"5edu_chain-A_Grid",-6.91174,-1.84987,-0.32,-2.3,-0.381794,-30.5844,-7.96713,0.664218,0,-58.2118,-38.5515,8.75597
