title,r_psp_MMGBSA_dG_Bind,r_psp_MMGBSA_dG_Bind_Coulomb,r_psp_MMGBSA_dG_Bind_Covalent,r_psp_MMGBSA_dG_Bind_Hbond,r_psp_MMGBSA_dG_Bind_Lipo,r_psp_MMGBSA_dG_Bind_Packing,r_psp_MMGBSA_dG_Bind_SelfCont,r_psp_MMGBSA_dG_Bind_Solv_GB,r_psp_MMGBSA_dG_Bind_Solv_SA,r_psp_MMGBSA_dG_Bind_vdW,r_psp_Lig_Strain_Energy,r_psp_Lig_Strain_Coulomb,r_psp_Lig_Strain_Covalent,r_psp_Lig_Strain_Hbond,r_psp_Lig_Strain_Lipo,r_psp_Lig_Strain_Packing,r_psp_Lig_Strain_SelfCont,r_psp_Lig_Strain_Solv_GB,r_psp_Lig_Strain_Solv_SA,r_psp_Lig_Strain_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Complex_Energy,r_psp_Complex_Coulomb,r_psp_Complex_Covalent,r_psp_Complex_Hbond,r_psp_Complex_Lipo,r_psp_Complex_Packing,r_psp_Complex_SelfCont,r_psp_Complex_Solv_GB,r_psp_Complex_Solv_SA,r_psp_Complex_vdW,r_psp_Ligand_Energy,r_psp_Ligand_Coulomb,r_psp_Ligand_Covalent,r_psp_Ligand_Hbond,r_psp_Ligand_Lipo,r_psp_Ligand_Packing,r_psp_Ligand_SelfCont,r_psp_Ligand_Solv_GB,r_psp_Ligand_Solv_SA,r_psp_Ligand_vdW,r_psp_Receptor_Energy,r_psp_Receptor_Coulomb,r_psp_Receptor_Covalent,r_psp_Receptor_Hbond,r_psp_Receptor_Lipo,r_psp_Receptor_Packing,r_psp_Receptor_SelfCont,r_psp_Receptor_Solv_GB,r_psp_Receptor_Solv_SA,r_psp_Receptor_vdW,r_psp_MMGBSA_dG_Bind(NS),r_psp_MMGBSA_dG_Bind(NS)_Coulomb,r_psp_MMGBSA_dG_Bind(NS)_Covalent,r_psp_MMGBSA_dG_Bind(NS)_Hbond,r_psp_MMGBSA_dG_Bind(NS)_Lipo,r_psp_MMGBSA_dG_Bind(NS)_Packing,r_psp_MMGBSA_dG_Bind(NS)_SelfCont,r_psp_MMGBSA_dG_Bind(NS)_Solv_GB,r_psp_MMGBSA_dG_Bind(NS)_Solv_SA,r_psp_MMGBSA_dG_Bind(NS)_vdW,r_psp_Rec_Strain_Energy,r_psp_Rec_Strain_Coulomb,r_psp_Rec_Strain_Covalent,r_psp_Rec_Strain_Hbond,r_psp_Rec_Strain_Lipo,r_psp_Rec_Strain_Packing,r_psp_Rec_Strain_SelfCont,r_psp_Rec_Strain_Solv_GB,r_psp_Rec_Strain_Solv_SA,r_psp_Rec_Strain_vdW,r_psp_Prime_MMGBSA_ligand_efficiency,r_psp_Prime_MMGBSA_ligand_efficiency_sa,r_psp_Prime_MMGBSA_ligand_efficiency_ln
5312125,-63.1598145892058,-53.8381647586175,16.5386119868472,-0.688434615062533,-38.0440794263841,-2.83244602528496,0.0,51.4475198402133,,-35.7428215909167,17.9601523367975,0.801744061463438,16.5386119868484,0.0,-1.11295039430293,0.0,0.0,-0.451703728782405,,2.18445041157107,10.1423092895833,-2.60497489323758,32.9176358105872,0.0,-8.06045773383039,0.0,0.0,-25.1167784440032,,13.0068845500672,-30262.3095154082,-21881.7721559585,3475.2195522282,-252.842766409485,-4184.73677515584,-20.8154754441806,-350.327513044477,-3369.91683525902,,-3677.11754636483,10.1423092895833,-2.60497489323758,32.9176358105872,0.0,-8.06045773383039,0.0,0.0,-25.1167784440032,,13.0068845500672,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-81.1199669260059,-54.6399088200815,-9.09494701772928e-13,-0.688434615062533,-36.931129032082,-2.83244602528496,0.0,51.8992235689957,,-37.9272720024878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.80456613112017,-2.70684919668025,-13.8649810588908
71329,-59.9529230598637,21.6687521759268,8.08651983018262,-1.22782674482241,-33.9144896826592,-3.8358517128449,0.0,-16.5402941931134,,-34.1897327325387,10.9232785031857,0.187057874614652,8.08651983018219,0.0,-0.360021404068196,0.0,0.0,-0.674360534945805,,3.68408273740288,-76.8874227558609,-45.1292603238453,8.44152052648861,0.0,-3.68039997580506,0.0,0.0,-45.7724369113602,,9.25315392866096,-30346.1323559243,-21848.7895244546,3442.29134478744,-253.382158539245,-4176.22712765409,-21.8188811317405,-350.327513044477,-3458.56030775971,,-3679.31818812785,-76.8874227558609,-45.1292603238453,8.44152052648861,0.0,-3.68039997580506,0.0,0.0,-45.7724369113602,,9.25315392866096,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-70.8762015630527,21.4816943013138,4.54747350886464e-13,-1.22782674482241,-33.5544682785912,-3.8358517128449,0.0,-15.8659336581677,,-37.8738154699413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.06734217447806,-3.10101326171709,-13.7276991057529
62977,-32.3271264887298,-54.3455861328985,7.33377937047771,-1.49497634453851,-29.7875160666727,-0.666430875456609,0.0,72.5875293689814,,-25.9539258086224,23.9822981450853,9.10283654360714,7.33377937047941,0.0,5.2394714577124,0.0,0.0,-2.82432472466314,,5.13053549794961,-61.7587614839092,-49.2409342737793,25.819142254834,0.0,-10.2737704473647,0.0,0.0,-37.0104818692445,,8.9472828516452,-30303.3778980812,-21928.9155367134,3458.91622605608,-253.649308138961,-4178.69352450967,-18.6494602943522,-350.327513044477,-3360.6705291555,,-3671.38825228095,-61.7587614839092,-49.2409342737793,25.819142254834,0.0,-10.2737704473647,0.0,0.0,-37.0104818692445,,8.9472828516452,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-56.3094246338151,-63.4484226765089,-1.81898940354586e-12,-1.49497634453851,-35.0269875243848,-0.666430875456609,0.0,75.4118540936447,,-31.0844613065724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.19730098106407,-1.7959514715961,-7.5252220922435
43815,-39.5326641215033,-28.9397554944735,0.500879453407833,-0.806659875214848,-30.4395911871798,-1.52714479169583,0.0,45.6534741373152,,-23.9738663636613,7.76250613519139,0.428203291175207,0.500879453409176,0.0,3.62624768927021,0.0,0.0,-0.557082342963554,,3.76425804430035,11.0710525200436,-2.08914732929336,29.7415375042532,0.0,-9.01242117100156,0.0,0.0,-15.8627829355436,,8.2938664516289,-30237.75362171,-21856.3579191304,3456.00572138843,-252.960991669638,-4178.08425035381,-19.5101742105915,-350.327513044477,-3366.45688545346,,-3670.06160923601,11.0710525200436,-2.08914732929336,29.7415375042532,0.0,-9.01242117100156,0.0,0.0,-15.8627829355436,,8.2938664516289,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-47.2951702566934,-29.3679587856495,-1.36424205265939e-12,-0.806659875214848,-34.0658388764505,-1.52714479169583,0.0,46.2105564802787,,-27.738124407962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.64719433839597,-2.47079150759396,-9.46198056002813
3823,-50.3037323770986,-45.4955505908074,14.5253826520961,-0.502495380992144,-32.1214522813871,-0.256638394561392,0.0,48.9361790318308,,-35.3891574132863,30.5148404968765,1.23216732808297,14.5253826520972,0.0,10.3006385919083,0.0,0.0,-1.06368693867481,,5.52033886346275,1.93337371618861,-21.7682374809234,48.0763856876395,0.0,-24.0910299239408,0.0,0.0,-9.54260788723516,,9.25886332064846,-30257.6623687695,-21892.5928043784,3488.3650727705,-252.656827175415,-4194.84472020096,-18.239667813457,-350.327513044477,-3356.85400551064,,-3680.51190341661,1.93337371618861,-21.7682374809234,48.0763856876395,0.0,-24.0910299239408,0.0,0.0,-9.54260788723516,,9.25886332064846,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-80.8185728739772,-46.7277179188895,-9.09494701772928e-13,-0.502495380992144,-42.422090873295,-0.256638394561392,0.0,49.9998659705057,,-40.909496276749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.39732589936385,-2.09598884904578,-10.9749153548917
124081896,-52.2572238784378,-30.7161531238307,6.44734543335835,-0.706172647047822,-24.8327191031312,-3.36432986974831,0.0,39.335361813949,,-38.4205563819978,8.72511985608372,-1.78693409707743,6.44734543336003,0.0,0.268909010422862,0.0,0.0,-0.102202306782317,,3.89800181616057,32.1170026118977,-9.45792437328207,41.0883402693033,0.0,-13.6060414262841,0.0,0.0,-9.94887896690582,,24.0415071090664,-30229.4322313751,-21865.5030938038,3473.29899013343,-252.86050444147,-4177.07099852505,-21.3473592886439,-350.327513044477,-3366.86109380819,,-3668.76065859691,32.1170026118977,-9.45792437328207,41.0883402693033,0.0,-13.6060414262841,0.0,0.0,-9.94887896690582,,24.0415071090664,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-60.9823437345221,-28.9292190267515,-1.36424205265939e-12,-0.706172647047822,-25.1016281135535,-3.36432986974831,0.0,39.4375641207312,,-42.3185581981584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.30643059696095,-1.95964589544142,-11.1449279918229
3002119,-60.0674142748212,-30.3643562504658,9.51559931183965,-0.56186832195948,-48.0826723584587,-0.802898765166031,0.0,36.5819508475242,,-26.3531687381292,23.7165572797728,2.11300147902099,9.51559931184113,0.0,9.69737415039472,0.0,0.0,-2.3072177528183,,4.69780009133417,-115.957040665537,-122.044810261534,27.4781853742768,0.0,-16.7748376764109,0.0,0.0,-8.91129632377408,,4.29571822190506,-30385.3164650489,-21977.7381828187,3462.75708911689,-252.716200116382,-4203.4897480305,-18.7859281840617,-350.327513044477,-3368.57692213148,,-3676.4390598402,-115.957040665537,-122.044810261534,27.4781853742768,0.0,-16.7748376764109,0.0,0.0,-8.91129632377408,,4.29571822190506,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-83.7839715545924,-32.4773577294873,-1.36424205265939e-12,-0.56186832195948,-57.780046508854,-0.802898765166031,0.0,38.8891686003426,,-31.0509688294633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-2.3102851644162,-3.4654277466243,-14.1066351451796
135413538,-27.3432463447425,-44.4708281897583,19.8406619501266,-3.57351751572375,-23.7951493799756,-0.899166821981204,0.0,55.5504131659309,,-29.9956595533704,25.1898491319845,0.0758347086259903,19.8406619501308,0.0,-0.201937288770088,0.0,0.0,-0.0162325379662889,,5.49152229996409,-29.608756219866,-9.61064455073753,49.1844242893159,0.0,-8.22636278021394,0.0,0.0,-72.225545358795,,11.2693721805647,-30266.2440126732,-21879.4104890472,3494.78839067021,-255.727849310146,-4170.65375015582,-18.8821962408768,-350.327513044477,-3412.9227088481,,-3673.10789669678,-29.608756219866,-9.61064455073753,49.1844242893159,0.0,-8.22636278021394,0.0,0.0,-72.225545358795,,11.2693721805647,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-52.5330954767269,-44.5466628983813,-4.54747350886464e-12,-3.57351751572375,-23.5932120912057,-0.899166821981204,0.0,55.5666457038969,,-35.4871818533347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.666908447432744,-1.00036267114912,-5.80096070618916
2247,-52.0793291488117,-29.9998506259908,3.26957211701983,-0.271880162468534,-39.4135592206558,-0.723398250895439,0.0,50.3560475564545,,-35.2962605622738,7.66807963574416,0.982574159993661,3.26957211702032,0.0,0.892704076728903,0.0,0.0,-0.538000570436424,,3.06122985243772,-9.82218272189263,-15.0722001752974,17.5639608056994,0.0,-10.0558433918548,0.0,0.0,-15.6108201678865,,13.3527202074465,-30271.1935219793,-21870.401067108,3446.59683735349,-252.426211956891,-4188.10164060814,-18.7064276697911,-350.327513044477,-3361.50234926667,,-3676.3251496788,-9.82218272189263,-15.0722001752974,17.5639608056994,0.0,-10.0558433918548,0.0,0.0,-15.6108201678865,,13.3527202074465,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-59.7474087845549,-30.982424785987,-4.54747350886464e-13,-0.271880162468534,-40.3062632973852,-0.723398250895439,0.0,50.894048126891,,-38.3574904147113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-1.53174497496505,-2.29761746244757,-11.5057845846754
53234134,-34.8027004200267,-49.6681061744603,19.2115656155247,-2.77997870285461,-31.6104702774364,-0.200281083026255,0.0,63.4220694603951,,-33.1774992581745,20.1738679359199,11.9003328158254,19.2115656155279,0.0,-2.28936701376151,0.0,0.0,-8.99727396587514,,0.348610484203343,-91.285227259759,-73.1758191215265,68.1062655445667,0.0,-7.83254806074556,0.0,0.0,-84.5865243172825,,6.2033986952288,-30335.3799377883,-21948.1729416027,3513.08113559086,-254.934310497277,-4178.07525633381,-18.1833105019219,-350.327513044477,-3417.41203151212,,-3681.35570988692,-91.285227259759,-73.1758191215265,68.1062655445667,0.0,-7.83254806074556,0.0,0.0,-84.5865243172825,,6.2033986952288,-30209.2920101086,-21825.3290163067,3425.76330443077,-252.154331794423,-4138.63223799563,-17.9830294188956,-350.327513044477,-3396.24757665523,,-3654.38160932398,-54.9765683559453,-61.5684389902854,-3.18323145620525e-12,-2.77997870285461,-29.3211032636746,-0.200281083026255,0.0,72.4193434262702,,-33.5261097423777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.773393342667259,-1.16009001400089,-7.24051262057505
